,Date_time,Compound,News_outlet
0,2018-07-04 15:47:26+00:00,0.7088,Noble Energy
1,2018-06-01 15:52:46+00:00,-0.4215,Noble Energy
2,2018-05-28 12:00:15+00:00,0.6124,Noble Energy
3,2018-05-22 00:30:32+00:00,0.7783,Noble Energy
4,2018-05-16 15:30:13+00:00,0.4588,Noble Energy
5,2018-05-11 13:02:58+00:00,0.9118,Noble Energy
6,2018-05-03 13:42:57+00:00,0.7717,Noble Energy
7,2018-05-03 13:42:34+00:00,0.7717,Noble Energy
8,2018-05-02 20:34:14+00:00,0.743,Noble Energy
9,2018-05-01 19:18:34+00:00,0.6249,Noble Energy
10,2018-04-30 21:49:37+00:00,0.6249,Noble Energy
11,2018-04-30 20:25:03+00:00,0.6249,Noble Energy
12,2018-04-18 22:57:49+00:00,0.5719,Noble Energy
13,2018-04-13 20:01:39+00:00,0.8655,Noble Energy
14,2018-03-27 20:34:44+00:00,0.3818,Noble Energy
15,2018-03-22 18:58:16+00:00,0.9127,Noble Energy
16,2018-03-22 18:51:45+00:00,0.6908,Noble Energy
17,2018-02-28 00:53:15+00:00,0.3612,Noble Energy
18,2018-02-23 17:12:51+00:00,0.7579,Noble Energy
19,2018-02-21 18:58:15+00:00,0.8481,Noble Energy
20,2018-02-20 18:38:42+00:00,0.7351,Noble Energy
21,2018-02-20 14:36:21+00:00,0.875,Noble Energy
22,2018-02-20 14:32:50+00:00,0.926,Noble Energy
23,2018-02-19 21:28:36+00:00,0.6369,Noble Energy
24,2018-02-15 17:58:46+00:00,0.743,Noble Energy
25,2018-02-14 15:31:16+00:00,0.743,Noble Energy
26,2018-02-09 14:07:12+00:00,0.0,Noble Energy
27,2018-02-02 20:56:00+00:00,0.7777,Noble Energy
28,2018-01-30 20:33:40+00:00,-0.6597,Noble Energy
29,2018-01-25 21:33:45+00:00,0.5859,Noble Energy
30,2018-01-09 19:37:58+00:00,0.9042,Noble Energy
31,2017-12-29 19:54:51+00:00,0.8439,Noble Energy
32,2017-12-25 14:16:03+00:00,0.9476,Noble Energy
33,2017-12-12 22:21:13+00:00,0.4939,Noble Energy
34,2017-12-06 18:54:13+00:00,0.0,Noble Energy
35,2017-12-05 19:25:23+00:00,0.3818,Noble Energy
36,2017-11-22 17:47:49+00:00,0.8439,Noble Energy
37,2017-11-16 14:00:07+00:00,0.3382,Noble Energy
38,2017-11-15 19:38:47+00:00,0.5093,Noble Energy
39,2017-11-11 14:02:03+00:00,0.8481,Noble Energy
40,2018-07-20 14:05:54+00:00,0.0,Halliburton
41,2018-07-19 15:15:23+00:00,0.4019,Halliburton
42,2018-07-19 14:18:25+00:00,0.1779,Halliburton
43,2018-07-16 18:05:24+00:00,0.3802,Halliburton
44,2018-07-12 15:05:21+00:00,0.6124,Halliburton
45,2018-07-12 13:10:24+00:00,0.6124,Halliburton
46,2018-07-11 19:05:24+00:00,0.5719,Halliburton
47,2018-07-11 15:10:17+00:00,0.3818,Halliburton
48,2018-07-05 15:10:13+00:00,0.4939,Halliburton
49,2018-07-03 15:10:20+00:00,0.5994,Halliburton
50,2018-07-03 15:05:09+00:00,0.0772,Halliburton
51,2018-07-02 21:00:18+00:00,0.0,Halliburton
52,2018-06-27 16:30:04+00:00,0.8172,Halliburton
53,2018-06-26 13:15:21+00:00,0.0,Halliburton
54,2018-06-25 16:30:08+00:00,-0.5267,Halliburton
55,2018-06-20 19:45:31+00:00,0.25,Halliburton
56,2018-06-20 15:05:31+00:00,0.5707,Halliburton
57,2018-06-19 19:47:25+00:00,-0.1779,Halliburton
58,2018-06-19 14:05:13+00:00,0.0,Halliburton
59,2018-06-15 18:05:14+00:00,0.7263,Halliburton
60,2018-06-14 16:00:39+00:00,0.34,Halliburton
61,2018-06-12 15:00:31+00:00,0.3612,Halliburton
62,2018-06-11 15:05:15+00:00,-0.0788,Halliburton
63,2018-06-07 14:00:32+00:00,0.8316,Halliburton
64,2018-06-05 15:05:11+00:00,0.5859,Halliburton
65,2018-06-04 18:00:12+00:00,0.7717,Halliburton
66,2018-06-04 16:25:16+00:00,-0.34,Halliburton
67,2018-06-04 15:04:04+00:00,0.0,Halliburton
68,2018-06-04 13:39:44+00:00,0.0,Halliburton
69,2018-05-31 20:47:32+00:00,0.2732,Halliburton
70,2018-05-31 15:05:16+00:00,0.6597,Halliburton
71,2018-05-29 18:30:34+00:00,0.1406,Halliburton
72,2018-05-29 15:00:18+00:00,0.0,Halliburton
73,2018-05-24 15:00:28+00:00,0.3612,Halliburton
74,2018-05-22 17:05:28+00:00,0.4019,Halliburton
75,2018-05-17 20:00:25+00:00,0.128,Halliburton
76,2018-05-16 16:00:20+00:00,0.0,Halliburton
77,2018-05-16 15:00:53+00:00,0.4019,Halliburton
78,2018-05-15 15:00:12+00:00,0.6369,Halliburton
79,2018-05-14 15:00:29+00:00,-0.5859,Halliburton
